ts	phase	decision	why	evidence	result
2026-08-24T14:31:45Z	audit	supersedes row citing commit e7223b8: that SHA was orphaned by the amend; the U8 commit on the branch is a07e5b0	reviewer flag 1: trail pointer must resolve	git log main..HEAD	corrected
2026-08-24T14:31:45Z	review	reviewer (opus) returned: independent 67/67 rerun green, red-first claim reproduced in a worktree at e5e3627, 8 flags	cross-model review per show-me-your-work	task output agent-aa6ba0832f74ee808.jsonl	triaged: 6 accepted, 2 dismissed with reasons
2026-08-24T14:36:36Z	review-fixes	accepted review flags 1,3,4,5,6,7: trail pointer, list format note, prune stale leak (red-then-green), exit-1 docs, bidirectional flag guard, derived drain waits	each flag re-verified against source before acting; prune change bounded to explicit command + age cutoff	commit 2731c9f	69/69 green
2026-08-24T14:36:36Z	review-fixes	dismissed review flags 2 and 8	flag 2: busy=true not observable live with no live session, already stated as harness-level; flag 8: trail deliberately untracked (would ship in plugin package) and push is forbidden this cycle	decisions.tsv rows frame/audit	dismissed with reasons
2026-08-24T15:37:16Z	interrupt-fix	root-caused live interrupt attribution loss: agent_start refused preemption + settle reset destroyed the binding; fixed via preemptedOwner + aborted settles; red-then-green	coordinator reproduced live twice; code walk confirmed both defects at agent_start and agent_settled	commits cc27311 + 63d0eaa	72/72 green x3
2026-08-24T15:37:16Z	interrupt-fix	one flake in 6 runs: fs.watch missed a rename under load; raised untilOutbox ceiling above the bridge's 10s safety scan, derived from source	the backstop is the real worst-case latency; a 5s test ceiling raced the design	/tmp/full.tap not ok 15; 3 clean full runs after	resolved
2026-08-25T08:30:39Z	frame	figure-it-out run 2: four weak links (lossy handoff, no shared context, regex feedback, no replan loop); trail now committed per user instruction, superseding the untracked-trail row	user answered checkpoint: plan form = JSON artifact + generated workflow TS, predicate 2 stays weak, trail committed	commit 5363114	framing approved
2026-08-25T08:30:39Z	B0	harness baseline: 72/72 green under Node 22.22.1; 4 red contract tests added (busy/idle contradiction incl. live repro on 01a0345c, outcome query x2, send --plan)	red tests first so B3/B4/B6 prove themselves; workflow-lifecycle red test deferred to post-B1 for the real entry shape	test/protocol3.test.mjs; live status_report idle:true busy:true	4 red as intended
2026-08-25T08:42:13Z	B1-spike	structural path confirmed: lifecycle notices are custom_message entries customType workflows:lifecycle-notice with typed details (kind/scope/runId/workflowName/status/stage*); tool_execution_end result.details carries runId/status; slash dispatch needs sendUserMessage expandPromptTemplates:true; no cross-extension tool invocation; /workflow reload re-discovers .atomic/workflows	regex replacement and deterministic entry both feasible on documented surfaces; no design invalidation, no checkpoint needed	atomic repo: lifecycle-notifications.ts:29,226-249; agent-session-prompt.ts:537-540; discovery.ts; extension-runtime-state.ts:449-493	spike done
2026-08-25T08:42:13Z	B2-arena	protocol v3 contract judged from 2 candidates (opus/sonnet): inline plan payload 8KB + bridge persists to plans/; distinct action=command with leading-slash guard; run_workflow inline source 256KB cap + workflow_installed overwrote flag; single enriched workflow_lifecycle (terminal only for run-scope) + structural workflow_started; shared outcome reducer; proto floor stays 2, v3 features refused client-side	smallest contract serving the four weak links; superset event beats parallel compat events; reducer is the domain state machine	task outputs a63c1899 ad52be95; unknownKeys rejection verified in parseCommand	contract fixed
2026-08-25T08:42:13Z	B3	busy/idle single source of truth: isContended() helper (engine isIdle authoritative, agentRunning fallback) feeds status_report, heartbeat, accepted.contended	live repro on 01a0345c showed idle:true busy:true from two independent trackers	test protocol3 #1 red->green; bridge suite 19/19	green
2026-08-25T08:42:13Z	design-note	B4/B5 fan-out to 2 worktrees skipped; sequential on this branch	shared protocol contract, shared test files and a 350-line edit surface make the seam illusory; merge cost exceeds parallel gain (same call as prior run row 7)	decisions.tsv row 7	skipped
2026-08-25T08:50:12Z	B5	bridge v3: action=command (expandPromptTemplates), plan persisted+inlined on prompt/follow_up, run_workflow installs TS + reload + run with binding on the run injection, structural lifecycle from custom_message details (regex deleted), structural workflow_started from result.details, PROTOCOL=3	the four weak links close at the extension boundary; regex false positive/negative pinned by tests	test/protocol3.test.mjs 8 new bridge tests; bridge.test.mjs fixtures moved to typed shapes; 28 green	green
2026-08-25T09:01:14Z	B4-B6	controller v3: outcome reducer extracted (createOutcomeTracker) and shared by wait loop + new outcome command; send --plan/--mode command/--json; run-workflow command; client-side v3 gating before inbox writes; consistency gate taught to read tracker exit codes as data	one reducer means --wait and outcome cannot disagree; v2 parseCommand rejects unknown keys so gating must be client-side	suite 83/83 green	green
2026-08-25T09:01:14Z	B7-docs	version 0.3.0 across plugin.json/bridge/README badge/CHANGELOG; README+SKILL+commands document plan handoff, run-workflow, outcome, command mode; new commands/run-workflow.md and commands/outcome.md	docs drift is a failing test in this repo; the gates demanded the sync	consistency tests green in 83/83	green
2026-08-25T09:20:43Z	B7-e2e	live e2e on headless atomic (proto 3): plan handoff PLAN-OK (instruction lived only in the plan), run-workflow completed and failed paths on fresh names, outcome query on live and closed sessions, busy/idle coherent	prove against the real artifact; unit fixtures cannot fake the engine	scratchpad e2e-v3 rpc-out*.jsonl; outbox 01a03828/01a03835	5 predicates verified
2026-08-25T09:20:43Z	B7-e2e-fixes	two live-only defects fixed red-then-green: slash syntax is /workflow <name> not /workflow run <name>; slash-launched runs bind via started-notice name match (no input event, no tool event); plus RELOAD_SETTLE_MS mitigation for the engine race where a run does not await an in-flight reload	the engine gap is upstream (ensureWorkflowResourcesLoaded waits only when no discovery exists); documented in ROADMAP.md, atomic repo kept read-only	rpc-out2.jsonl gen2/gen3 ordering; second run green; ROADMAP.md upstream-gap section	fixed + documented
2026-08-25T09:20:43Z	verify	full suite 83/83 green twice under Node 22.22.1; outcome action now reported from the accepted record	predicate check	two clean runs	green
2026-08-25T11:10:49Z	upstream	engine fix implemented on atomic branch fix/workflows-await-inflight-reload (red test 82de0f8d3, fix 3d8a1399f); RELOAD_SETTLE_MS stays, version-gated note added to ROADMAP	user chose maintainer review over a locally divergent Atomic; the mitigation protects engines <= 0.9.15	atomic worktree run: 9 files 225/225 at fix commit; space-free path	submitted upstream
